"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Energy and Latency-Aware Computation Offloading and Resource Allocation for a Multi-Access Edge Computing-Enabled Heterogeneous Network","M. Mahbub; B. Barua","Department of Electrical and Electronic Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Ahsanullah University of Science and Technology, Dhaka, Bangladesh","2021 International Conference on Science & Contemporary Technologies (ICSCT)","20 Dec 2021","2021","","","1","6","The 5th generation (5G) cellular network and support technologies are being developed and used to fulfill the growing demand for mobile data traffic and satisfy the demanding requirements of the upcoming Internet of Things (IoT) applications such as the intelligent city, interactive healthcare, augmented/virtual reality (AR/VR), etc. Multi-access edge computing (MEC), an evolving 5G technology and a core enabler, which combines telecom and IT services, provides cloud computing at the edge of the RAN (radio access network). MEC can minimize latency for end-user equipment by offering computing and storage capacity at the edge. Therefore the paper presented approaches and measurements for efficient computation offloading and radio resource allocation for the uplink (UL) concerning the MEC services.","","978-1-6654-2132-4","10.1109/ICSCT53883.2021.9642693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9642693","MEC;HetNet;Computation Offloading;Resource Allocation","Energy consumption;5G mobile communication;Current measurement;Urban areas;Energy measurement;Bandwidth;Resource management","cellular radio;cloud computing;Internet;Internet of Things;Long Term Evolution;mobile computing;radio access networks;resource allocation;telecommunication traffic;virtual reality","multiaccess edge computing-enabled heterogeneous network;generation cellular network;evolving 5G technology;cloud computing;RAN;radio access network;storage capacity;efficient computation offloading;radio resource allocation","","","","13","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Target selection in handheld Augmented Reality for distant and occluded object","N. A. A. Halim; A. W. Ismail","Mixed and Virtual Reality Research Lab, Vicubelab School of Computing, Faculty of Engineering Universiti Teknologi Malaysia, UTM, Johor Bahru; Mixed and Virtual Reality Research Lab, Vicubelab School of Computing, Faculty of Engineering Universiti Teknologi Malaysia, UTM, Johor Bahru","2022 IEEE 7th International Conference on Recent Advances and Innovations in Engineering (ICRAIE)","2 Mar 2023","2022","7","","266","271","As the current advancement of the technologies evolves, handheld devices are able to fulfil the AR requirements, allowing handheld AR potential to be further discovered, especially for interaction in handheld AR. Other than target selection on faraway object, target selection on obscured object is another remaining issue that still need to be addressed. These issues are often addressed separately in previous research. However, as the target object is distant, it becomes even harder to complete the selection when the distant target object is occluded. Therefore, the gesture of a real hand is implemented with raycasting allowing target selection in handheld AR. We utilized simultaneous localization and mapping (SLAM) tracking to allow AR space. This paper concludes with the recommendations of the future work.","","978-1-6654-8910-2","10.1109/ICRAIE56454.2022.10054325","Ministry of Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054325","interaction;target selection;augmented reality;handheld augmented reality;occluded object;distant object","Technological innovation;Simultaneous localization and mapping;Target tracking;Augmented reality","augmented reality;object detection;ray tracing;target tracking","distant target object;handheld AR;handheld augmented reality;handheld devices;obscured object;occluded object;raycasting;simultaneous localization and mapping tracking;SLAM tracking;target selection","","","","35","IEEE","2 Mar 2023","","","IEEE","IEEE Conferences"
"A methodology to select wearable devices for Industry 5.0 applications","E. Montini; V. Cutrona; B. Gladysz; S. Dell’Oca; G. Landolfi; A. Bettoni","Department of Innovative Technologies, SUPSI, Lugano, Switzerland; Department of Innovative Technologies, SUPSI, Lugano, Switzerland; Faculty of Mechanical and Industrial Eng., Warsaw University of Technology, Warsaw, Poland; Department of Innovative Technologies, SUPSI, Lugano, Switzerland; Department of Innovative Technologies, SUPSI, Lugano, Switzerland; Department of Innovative Technologies, SUPSI, Lugano, Switzerland","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","4","The adoption of wearable devices is crucial in Industry 5.0 applications, but the devices’ selection is cumbersome for practitioners and researchers due to the wide availability of models in the market. This work proposes a methodology based on the Analytic Hierarchy Process method to support the wearable devices selection in Industry 5.0 applications. The methodology helps in identifying the most suitable devices starting from the application requirements and devices’ features analysis. We tested the methodology in a real industrial setting (human fatigue detection), successfully identifying the two most suitable wearable devices among a list of 110 alternatives.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921627","Industry 5.0;Human Digital Twin;Wearable Devices;Operator 4.0","Industries;Training;Solid modeling;Target tracking;Service robots;Wearable computers;Virtual reality","analytic hierarchy process;production engineering computing;wearable computers","analytic hierarchy process method;wearable devices selection;industry 5.0 applications","","1","","24","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"Architectural proposal for a mobile telepresence robot, REGIMTEL","N. Ghribi; B. Ammar; A. M. Alimi","REGIM: Research Groups on Intelligent Machines, National Engineering School of Sfax (ENIS), Sfax, Tunisia; REGIM: Research Groups on Intelligent Machines, National Engineering School of Sfax (ENIS), Sfax, Tunisia; REGIM: Research Groups on Intelligent Machines, National Engineering School of Sfax (ENIS), Sfax, Tunisia","2014 6th International Conference of Soft Computing and Pattern Recognition (SoCPaR)","15 Jan 2015","2014","","","359","364","Recent advances in information and communication technologies offer wide variety methods of exchange over the network. The telepresence robot is an example of these techonol-gies. This paper presents our approach to build an intelligent telepresence robot called “REGIMTEL” by using commercialized Android tablet PC. REGIMTEL can be used as an agent to supervise and to communicate with children or elders at home. Our robot is mainly composed of a brain (Android tablet) and a body (wheeled robot). With this structure, the robot is controlled by a web application. This paper describes a general architecture of our telepresence system and the different software modules for perception and communication of REGIMTEL.","","978-1-4799-5934-1","10.1109/SOCPAR.2014.7008033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7008033","","Mobile robots;Androids;Humanoid robots;Robot sensing systems;Software;Materials requirements planning","intelligent robots;Internet;mobile robots;notebook computers;telecontrol;virtual reality","mobile telepresence robot;REGIMTEL;intelligent telepresence robot;Android tablet PC;Web application;software modules","","1","","38","IEEE","15 Jan 2015","","","IEEE","IEEE Conferences"
"A Point-to-Distribution Joint Geometry and Color Metric for Point Cloud Quality Assessment","A. Javaheri; C. Brites; F. Pereira; J. Ascenso","Instituto de Telecomunicações - Instituto Superior Técnico, Lisbon, Portugal; Instituto de Telecomunicações - Instituto Superior Técnico, Lisbon, Portugal; Instituto de Telecomunicações - Instituto Superior Técnico, Lisbon, Portugal; Instituto de Telecomunicações - Instituto Superior Técnico, Lisbon, Portugal","2021 IEEE 23rd International Workshop on Multimedia Signal Processing (MMSP)","16 Mar 2022","2021","","","1","6","Point clouds (PCs) are a powerful 3D visual representation paradigm for many emerging application domains, especially virtual and augmented reality, and autonomous vehicles. However, the large amount of PC data required for highly immersive and realistic experiences requires the availability of efficient, lossy PC coding solutions are critical. Recently, two MPEG PC coding standards have been developed to address the relevant application requirements and further developments are expected in the future. In this context, the assessment of PC quality, notably for decoded PCs, is critical and asks for the design of efficient objective PC quality metrics. In this paper, a novel point-to-distribution metric is proposed for PC quality assessment considering both the geometry and texture. This new quality metric exploits the scale-invariance property of the Mahalanobis distance to assess first the geometry and color point-to-distribution distortions, which are after fused to obtain a joint geometry and color quality metric. The proposed quality metric significantly outperforms the best PC quality assessment metrics in the literature.","2473-3628","978-1-6654-3288-7","10.1109/MMSP53017.2021.9733670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9733670","point cloud;quality metric;geometry and color;point-to-distribution;Mahalanobis distance","Measurement;Geometry;Point cloud compression;Visualization;Three-dimensional displays;Image color analysis;Transform coding","augmented reality;data compression;data visualisation;image coding;image colour analysis;video coding;virtual reality","efficient PC coding solutions;lossy PC coding solutions;MPEG PC coding standards;relevant application requirements;decoded PCs;efficient objective PC quality metrics;novel point-to-distribution;texture;quality metric exploits;color point-to-distribution distortions;color quality;PC quality assessment metrics;point-to-distribution joint geometry;color metric;point cloud quality assessment;point clouds;powerful 3D visual representation paradigm;emerging application domains;virtual reality;augmented reality;autonomous vehicles;PC data;highly immersive experiences;realistic experiences","","6","","31","IEEE","16 Mar 2022","","","IEEE","IEEE Conferences"
"Construction of Virtual Test Platform for Fuze Involute Gear Train and Straight-Sided Verge Runaway Escapement Mechanism","H. Hu; J. Wang; C. Jie","Coll. of Mech. & Electr., Jiaxing Univ., Jiaxing, China; Sch. of Mech. Eng., Nanjing Univ. of Sci. & Technol., Nanjing, China; Sch. of Mech. Eng., Nanjing Univ. of Sci. & Technol., Nanjing, China","2010 International Conference on Measuring Technology and Mechatronics Automation","6 May 2010","2010","1","","828","832","Virtual testing (VT) technology has been widely applied into current mechanical engineering field, it has many advantages, including comparative low requirement of hardware, simplification experiment process, testing cost reduction, etc. As an important subsystem of ammunition, fuze is the key element for its efficiency performance. It would shorten the design and test cycle, ameliorate the traditional methods if VT technology was brought into fuze design, which also has both significant military and economic benefits. Based on the actual product investigation, the precisely model of fuze S&A mechanism can be automatically generated, and its kinematics simulation can also be finished by using CAD, CAE and UG customization technology. At the same time, a VT platform for fuze S&A mechanism is constructed in this paper.","2157-1481","978-1-4244-5739-7","10.1109/ICMTMA.2010.544","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5458536","Involute gear train and straight-sided verge runaway escapement;virtual test;precise modeling;UG customization","Gears;Wheels;Automatic testing;Mechanical engineering;Equations;Safety devices;Current measurement;Mechanical variables measurement;Electric variables measurement;Mechatronics","CAD;computer aided engineering;gears;mechanical engineering computing;military computing;product customisation;virtual reality","virtual test platform;fuze involute gear train;straight-sided verge runaway escapement mechanism;S&A mechanism;kinematics simulation;CAD;CAE;UG customization technology","","","","10","IEEE","6 May 2010","","","IEEE","IEEE Conferences"
"Multirate simulation for high fidelity haptic interaction with deformable objects in virtual environments","M. C. Cavusoglu; F. Tendick","Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, USA; Department of Surgery, University of California, San Francisco, CA, USA","Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065)","6 Aug 2002","2000","3","","2458","2465 vol.3","Haptic interaction is an increasingly common form of interaction in virtual environment simulations. This medium introduces some new challenges. In this paper we study the problem arising from the difference between the sampling rate requirements of haptic interfaces and the significantly lower update rates of the physical models being manipulated. We propose a multirate simulation approach which uses a local linear approximation. The treatment includes a detailed analysis and experimental verification of the approach. The proposed method is also shown to improve the stability of the haptic interaction.","1050-4729","0-7803-5886-4","10.1109/ROBOT.2000.846397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=846397","","Deformable models;Haptic interfaces;Virtual environment;Surgery;Stability;Sampling methods;Reduced order systems;Algorithm design and analysis;Solid modeling;Humans","haptic interfaces;virtual reality;digital simulation;stability;reduced order systems","multirate simulation;haptic interaction;deformable objects;virtual reality;haptic interface;stability;local linear approximation;balanced model reduction","","45","","14","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Evaluating SNMP, NETCONF, and RESTful web services for router virtualization management","P. R. da Paz Ferraz Santos; R. P. Esteves; L. Z. Granville","Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, BR; Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Federal University of Rio Grande do Sul, Porto Alegre, Brazil","2015 IFIP/IEEE International Symposium on Integrated Network Management (IM)","2 Jul 2015","2015","","","122","130","In network virtualization environments (NVEs), the physical infrastructure is shared among different users (or service providers) who create multiple virtual networks (VNs). As part of VN provisioning, virtual routers (VRs) are created inside physical routers supporting virtualization. Currently, the management of NVEs is mostly realized by proprietary solutions. Heterogeneous NVEs (i.e., with different equipment and technologies) are difficult to manage due to the lack of standardized management solutions. As a first step to achieve management interoperability, good performance, and high scalability, we implemented, evaluated, and compared four management interfaces for physical routers that host virtual ones. The interfaces are based on SNMP (v2c and v3), NETCONF, and RESTful Web Services, and are designed to perform three basic VR management operations: VR creation, VR retrieval, and VR removal. We evaluate these interfaces with regard to the following metrics: response time, CPU time, memory consumption, and network usage. Results show that the SNMPv2c interface is the most suitable one for small NVEs without strict security requirements and NETCONF is the best choice to compose a management interface to be deployed in more realistic scenarios, where security and scalability are major concerns.","1573-0077","978-1-4799-8241-7","10.1109/INM.2015.7140284","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140284","","Virtualization;Servers;Data models;Protocols;Virtual machine monitors;Memory management;XML","open systems;security of data;virtualisation;Web services","NETCONF;RESTful Web services;router virtualization management;network virtualization environments;NVEs;virtual networks;VN provisioning;virtual routers;management interoperability;VR management operations;VR creation;VR retrieval;VR removal;SNMPv2c interface;security","","6","1","42","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"VLSI implementation of variable resolution image compression","H. Sahabi; A. Basu; M. Fiala","Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada","Proceedings of the 8th International Conference on VLSI Design","6 Aug 2002","1995","","","214","219","Variable Resolution (VR) compression of images is a new compression technique which has been developed based on the characteristics of the human eye. VR compression reduces the bandwith requirements in telepresence and teleconferencing systems. In order to perform this type of compression in real-time, a special purpose hardware is required. We describe the design of a VR Encoding/Decoding subsystem, which as designed to be interfaced, to SBus (Sun SPARC machines system Bus). The main component of this hardware unit is a VR Coder/Decoder (CODEC) VLSI chip which supports real time VR compression and decompression of up to 1024/spl times/1024 pixels at video rates. Some experimental results regarding VR compression and the quality of output images in a prototype teleconferencing system are provided.","1063-9667","0-8186-6905-5","10.1109/ICVD.1995.512111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=512111","","Very large scale integration;Image resolution;Image coding;Virtual reality;Teleconferencing;Hardware;Decoding;Humans;Sun;System buses","image coding;data compression;image resolution;teleconferencing;video codecs;codecs;video signal processing;digital signal processing chips;VLSI;real-time systems","variable resolution image compression;VLSI implementation;bandwith requirements;telepresence system;teleconferencing systems;encoding/decoding subsystem;SBus interface;VLSI codec chip;real time compression;real time decompression;video rates;output image quality;1024 pixel;1048576 pixel","","","","7","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"RCAT: A RESTful client-scalable architecture","T. Debeauvais; A. Valadares; C. V. Lopes","School of Information and Computer Science, University of California, Irvine, Irvine, CA, USA; School of Information and Computer Science, University of California, Irvine, Irvine, CA, USA; School of Information and Computer Science, University of California, Irvine, Irvine, CA, USA","2011 10th Annual Workshop on Network and Systems Support for Games","17 Nov 2011","2011","","","1","2","In interactive multi-user virtual environments, the computation and bandwidth required to perform real-time simulation increases quadratically with the number of users. Handling communication, storage and computation resources on the same machine hinders scalability. This paper presents a system architecture abiding to the constraints of the REpresentational State Transfer (REST) architectural style. This architecture divides the resource requirements into separate layers and suggests how they can be addressed efficiently in isolation. Theoretical results show how the architecture scales with the number of clients.","2156-8146","978-1-4577-1934-9","10.1109/NetGames.2011.6080987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080987","software architecture;virtual world;online games;scalability;REST","Computer architecture;Games;Engines;Databases;Servers;Physics;Synchronization","client-server systems;interactive systems;software architecture;virtual reality","RCAT;restful client-scalable architecture;interactive multiuser virtual environment;real-time simulation;communication handling;storage handling;computation resource handling;machine hinder scalability;representational state transfer architectural style;resource requirement","","","","6","IEEE","17 Nov 2011","","","IEEE","IEEE Conferences"
"Can Wi-Fi 7 Support Real-Time Applications? On the Impact of Multi Link Aggregation on Latency","G. Naik; D. Ogbe; J. -M. J. Park","Bradley Department of Electrical and Computer Engineering, Virginia Tech, Arlington, VA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Tech, Arlington, VA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Tech, Arlington, VA, USA","ICC 2021 - IEEE International Conference on Communications","6 Aug 2021","2021","","","1","6","Multi Link Aggregation (MLA) is a feature likely to be introduced in Wi-Fi 7, the next-generation of Wi-Fi, which will be based on the IEEE 802.11be specifications. MLA will allow Wi-Fi devices that support multiple bands (such as the 2.4 GHz, 5 GHz, and 6 GHz bands) to operate on them simultaneously. The resulting throughput and latency gains are likely to bring Wi-Fi one step closer to supporting emerging real-time applications like augmented and virtual reality. While throughput gains resulting from the use of MLA are mostly linear, the latency gains exhibit interesting characteristics and are the subject of this paper. We use our in-house simulator to study the latency enhancements resulting from MLA and seek to answer whether Wi-Fi 7 devices can meet the challenging latency requirements demanded by most real-time applications. In this pursuit, we observe that allowing Wi-Fi devices to contend on even a single additional link without changing any physical layer parameters can lead to an order of magnitude improvement in the worst-case latency in many scenarios. In addition, we highlight that even in dense conditions, MLA can help Wi-Fi devices meet the challenging latency requirements of most real-time applications.","1938-1883","978-1-7281-7122-7","10.1109/ICC42927.2021.9500256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9500256","","Conferences;Link aggregation;Virtual reality;Throughput;Physical layer;Real-time systems;Wireless fidelity","virtual reality;wireless LAN","Wi-Fi 7 devices;MLA;latency gains;real-time applications;multilink aggregation;frequency 2.4 GHz;frequency 5.0 GHz;frequency 6.0 GHz","","15","","24","IEEE","6 Aug 2021","","","IEEE","IEEE Conferences"
"Calculation and Analysis of Pile-Cap in a Cable-Stayed Bridge with Single Pylon","Y. Chen; J. Li","Xi'an University of Technology, Xi'an, Shaanxi, CN; Shaanxi Key Lab. of Loess Mech. & Eng., Xi'an, China","2018 International Conference on Virtual Reality and Intelligent Systems (ICVRIS)","11 Nov 2018","2018","","","168","171","Pile-cap is the main load bearing component in the bridge substructure. It has the function of connecting the superstructure and substructure, so its safety is quite crucial. And in the pile foundation, the behavior of pile-cap under force is complicated. In this paper, a highway cable-stayed bridge is taken as an example. The computation of the pile-cap in this bridge has been conducted based on the method in the specifications, including the bearing capacity computation of normal section, sloping section and punching resistance. And the bearing capacity of normal section has been computed based on the strut-tie theory. The punching resistance capacity has been computed by pier punching downward and pile punching upward. According to the computation results, the bearing capacity of pile-cap's normal section, sloping section and punching resistance meet the requirements of specifications.","","978-1-5386-8031-5","10.1109/ICVRIS.2018.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8531375","Cable-stayed bridge;Bearing capacity of pile-cap;Strut – tied system;Punching resistance of pile-cap","Punching;Bridges;Poles and towers;Bars;Concrete;Force;Resistance","bridges (structures);cables (mechanical);foundations;geotechnical engineering;poles and towers;shear strength;structural engineering","bridge substructure;pile foundation;highway cable-stayed bridge;punching resistance;load bearing component","","","","8","IEEE","11 Nov 2018","","","IEEE","IEEE Conferences"
"VP reservation for rapid restoration using multiagents","Y. Kakuda; S. Nagano; T. Kikuno; M. Terabe","Department of Computer Engineering, Faculty of Information Sciences, Hiroshima City University, Hiroshima, Japan; Department of Informatics and Mathematical Science, Graduate School of Engineering Science, Osaka University, Toyonaka, Osaka, Japan; Department of Informatics and Mathematical Science, Graduate School of Engineering Science, Osaka University, Toyonaka, Osaka, Japan; Research Center for Safety Science, Mitsubishi Research Institute, Inc., Chiyoda, Tokyo, Japan","Proceedings. Fourth IEEE International Conference on Engineering of Complex Computer Systems (Cat. No.98EX193)","6 Aug 2002","1998","","","121","128","This paper discusses how a backup virtual path (VP) between each pair of a source node and a destination node is set up such that when some nodes and links in primary VP's fail, primary VP's are changed to backup VP's rapidly. Then, this paper proposes a multiagent-based method for such rapid restoration from primary VP's to backup VP's. The proposed method consists of the following three steps. The first step enumerates candidates of backup VP between each pair of a source node and a destination node. In the second step, capacities of shared links in backup VP candidates between different pairs of a source node and a destination node are obtained. The last step determines a backup VP with the minimum capacities of shared links between each pair of a source node and a destination node. The proposed method has potentially good adaptability for change of both network resource such as topology and link capacity and resource requirements such as capacities of primary VP and backup VP.","","0-8186-8597-2","10.1109/ICECCS.1998.706662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706662","","Bandwidth;Informatics;Safety;Read only memory;Centralized control","protocols;virtual reality","VP reservation;rapid restoration;multiagents;source node;destination node;network resource;link capacity;resource requirements;primary VP;backup VP;virtual path reservation","","4","","7","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"The use of streaming audio in VRML environments","M. Divjak; D. Korze","Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia; Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia","Proceedings of the 23rd International Conference on Information Technology Interfaces, 2001. ITI 2001.","7 Aug 2002","2001","","","167","172 vol.1","VRML is one of the most popular languages for building virtual worlds, but it lacks support for the reception of streaming data. In our work this functionality was added by embedding a small Java application into the virtual environment. The application controls the transmission of streaming content (audio or video) from the content provider into the virtual world, real-time communication between current visitors of the same VRML environment and numerous other streaming operations. To verify our ideas, a VIRACO system was implemented. It shows that the proposed solution meets the requirements and can be used to enhance the arbitrary VRML environments.","1330-1012","953-96769-3-2","10.1109/ITI.2001.938014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=938014","","Streaming media;Virtual environment;Java;Communication system control;Internet;Layout;Hardware;Computer science;Application software;Web pages","virtual reality languages;Java;real-time systems;multimedia computing;audio signal processing","streaming audio;VRML environments;virtual worlds;streaming data;small Java application;virtual environment;streaming content transmission;content provider;real-time communication;VRML environment;streaming operations;VIRACO system","","","","10","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Communication efficiency in multi-agent systems","M. Berna-Koes; I. Nourbakhsh; K. Sycara","Robotics Institute Carnegie Mellon University; Robotics Institute, Carnegie Mellon University, USA; Robotics Institute, Carnegie Mellon University, USA","IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA '04. 2004","6 Jul 2004","2004","3","","2129","2134 Vol.3","Despite the growing number of multi-agent software systems, relatively few physical systems have adopted multi-agent systems technology. Agents that interact with a dynamic physical environment have requirements not shared by virtual agents, including the need to transfer information about the world and their interaction with it. The agent communication languages proven successful in software based multi-agent systems incur overheads that make them impractical or infeasible for the transfer of low-level data. Instead, real world systems typically employ application specific protocols to transfer video, audio, sensory, or telemetry data. These protocols lack the transparency and portability of formal agent communication languages and consequently are limited in their scalability. We propose augmenting the capabilities of current multi-agent systems to provide for the efficient transfer of low-level information, by allowing backchannels of communication between agents with flexible protocols in a carefully principled way. We show that this extension can yield significant performance increases in communication efficiency and discuss the benefits of incorporating backchannels into a search a rescue robot system.","1050-4729","0-7803-8232-3","10.1109/ROBOT.2004.1307377","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1307377","","Multiagent systems;Robot kinematics;Telemetry;Streaming media;Software agents;Robot sensing systems;Frequency;Software systems;Decision making;Financial management","multi-agent systems;virtual reality;multi-robot systems;telecommunication channels;machine oriented languages","multiagent systems;virtual agents;agent communication languages;rescue robot system;backchannel communication","","29","","16","IEEE","6 Jul 2004","","","IEEE","IEEE Conferences"
"A WebGL-based 3D virtual home roaming by seamlessly connecting videos to panoramas","L. Tao; Y. Wang","School of Media and Design, Hangzhou Dianzi University, Hangzhou, China; School of Media and Design, Hangzhou Dianzi University, Hangzhou, China","2015 8th International Congress on Image and Signal Processing (CISP)","18 Feb 2016","2015","","","498","503","In virtual 3d websites, the traditional 3D real-time rendering virtual roaming is difficult to achieve a realistic rendering effect. While ordinary panoramic roaming has the problem of visual disconnection on switching scene. To solve these problems, this paper proposes a WebGL-based virtual roaming method which can seamlessly connect video to panoramic view. Firstly, we convert the video initial position's texture coordinates to angle values, and compute turning degree according to the actual click position in the scene, and then, camera view roams to video's initial position. Secondly, the display content switches to the video player smoothly. During the video is playing, the camera view rotates to the video's end position. Finally, the content switches back to the panoramas after the video is over, and we make sure that the end video frame matches with the current perspective view. Experiments show that this method has fluency and a strong sense of reality. It's better to meet the requirements of virtual home roaming.","","978-1-4673-9098-9","10.1109/CISP.2015.7407931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7407931","3d virtual roaming;Panoramas;WebGL;Video;Seamlessly connection","Videos;Cameras;Databases;Three-dimensional displays;Loading;Image resolution;Joining processes","cameras;rendering (computer graphics);video signal processing;virtual reality;Web sites","WebGL-based 3D virtual home roaming;virtual 3d Websites;3D real-time rendering virtual roaming;panoramic roaming;visual disconnection problem;scene switching;video initial position","","","","13","IEEE","18 Feb 2016","","","IEEE","IEEE Conferences"
"Application research of 3D laser scanning technology in hull rib assembly","C. Wang; D. Zhou; B. Mao; J. Liu; H. Zhou; J. Liu","Shanghai Waigaoqiao Free Trade Zone Group Co., LTD, Shanghai, China; Jiangsu University of Science and Technology, Zhenjiang, China; Jiangsu University of Science and Technology, Zhenjiang, China; Shanghai Waigaoqiao Free Trade Zone Group Co., LTD, Shanghai, China; Jiangsu University of Science and Technology, Zhenjiang, China; Jiangsu University of Science and Technology, Zhenjiang, China","2022 International Conference on Manufacturing, Industrial Automation and Electronics (ICMIAE)","20 Dec 2022","2022","","","174","178","The traditional measurement methods and techniques cannot satisfy the accuracy requirements of the floor pull-in method, which is mainly manifested in the incomplete measurement data and low efficiency. To some extent, it restricts the actual demand for floor pulling in assembly. Based on this, this paper discusses the application of 3D laser scanning technology and virtual simulation technology in the assembly accuracy management of hull rib plates. The acquisition and processing method of rib point cloud data based on 3D laser scanning is studied. Rib error detection and virtual assembly simulation research were carried out based on a reverse model. Good application results have been achieved. This research provides a new way and technical means to realize fast detection and predictive correction of assembly errors during rib assembly, which can provide reference and technical support for improving the accuracy and success of the floor pull-in method.","","978-1-6654-7396-5","10.1109/ICMIAE57032.2022.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9980954","ship construction;3D laser scanning;rib plate;assembly simulation;error analysis","Point cloud compression;Solid modeling;Three-dimensional displays;Measurement by laser beam;Predictive models;Laser modes;Marine vehicles","assembling;CAD;optical scanners;plates (structures);production engineering computing;solid modelling;virtual manufacturing;virtual reality","3D laser scanning technology;assembly accuracy management;assembly errors;floor pulling;good application results;hull rib assembly;hull rib plates;incomplete measurement data;rib error detection;rib point cloud data;traditional measurement methods;virtual assembly simulation research;virtual simulation technology","","","","10","IEEE","20 Dec 2022","","","IEEE","IEEE Conferences"
"The design and implementation of a real-time walkthrough system supporting cooperative manipulation","Hongmei Sun; Shenquan Liu","CAD Laboratory, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; CAD Laboratory, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China","Proceedings of the Sixth International Conference on Computer Supported Cooperative Work in Design (IEEE Cat. No.01EX472)","7 Aug 2002","2001","","","25","29","In DIS, simulated scenes with extreme complexity become much more common, which will definitely advance much higher requirement on both real-time interaction and cooperative manipulation among group members. We thus propose a kind of schedule based parallel processing model, in which the parallel processing of the whole rendering pipeline and cooperation among members are combined together effectively. The constitution of our model and its implementation are discussed in detail. This model has been successfully applied in the development of OADS, and its satisfactory results, including the fine image, real-time performance, good workload balance at the server, friendly cooperative interface and so on, illustrate its efficiency.","","0-660-18493-1","10.1109/CSCWD.2001.942225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=942225","","Real time systems;Rendering (computer graphics);Peer to peer computing;Layout;Parallel processing;Processor scheduling;Concurrent computing;Application software;Military computing;Computer graphics","parallel programming;rendering (computer graphics);virtual reality;groupware","real-time walkthrough system;cooperative manipulation;DIS;simulated scenes;group members;schedule based parallel processing model;rendering pipeline;OADS;cooperative interface;workload balance;real-time performance;distributed interactive simulation;real-time rendering;virtual scene","","","","7","","7 Aug 2002","","","IEEE","IEEE Conferences"
