Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Verifying hardware components with JACK","Correct Hardware Design and Verification Methods","","","","10.1007/3-540-60385-9_15","R. De NicolaA. FantechiS. GnesiS. LarosaG. Ristori","1995","http://link.springer.com/chapter/10.1007/3-540-60385-9_15","Chapter"
"Steps towards Scenario-Based Programming with a Natural Language Interface","From Programs to Systems. The Systems perspective in Computing","","","","10.1007/978-3-642-54848-2_9","Michal GordonDavid Harel","2014","http://link.springer.com/chapter/10.1007/978-3-642-54848-2_9","Chapter"
"Teaching Physical Based Animation via OpenGL Slides","Innovations in Computing Sciences and Software Engineering","","","","10.1007/978-90-481-9112-3_82","Miao SongSerguei A. MokhovPeter Grogono","2010","http://link.springer.com/chapter/10.1007/978-90-481-9112-3_82","Chapter"
"An Architecture-Based Verification Technique for AADL Specifications","Software Architecture","","","","10.1007/978-3-642-23798-0_11","Andreas JohnsenPaul PetterssonKristina Lundqvist","2011","http://link.springer.com/chapter/10.1007/978-3-642-23798-0_11","Chapter"
"Audiovisual Design for Generative Systems: A Customized Audiovisual Experiment","Universal Access in Human-Computer Interaction. Theory, Methods and Tools","","","","10.1007/978-3-030-23560-4_28","Valdecir BeckerRafael M. ToscanoHelder Bruno A. M. de SouzaEdvaldo de Vasconcelos","2019","http://link.springer.com/chapter/10.1007/978-3-030-23560-4_28","Chapter"
"The EURESCOM P610 Project: Providing a framework, architecture and methodology for multimedia service management","Intelligence in Services and Networks: Technology for Ubiquitous Telecom Services","","","","10.1007/BFb0056954","Francis NesbittTom CounihanJohn Hickie","1998","http://link.springer.com/chapter/10.1007/BFb0056954","Chapter"
"The Relevance of Model-Driven Engineering Thirty Years from Now","Model-Driven Engineering Languages and Systems","","","","10.1007/978-3-319-11653-2_12","Gunter MussbacherDaniel AmyotRuth BreuJean-Michel BruelBetty H. C. ChengPhilippe ColletBenoit CombemaleRobert B. FranceRogardt HeldalJames HillJörg KienzleMatthias SchöttleFriedrich SteimannDave StikkolorumJon Whittle","2014","http://link.springer.com/chapter/10.1007/978-3-319-11653-2_12","Chapter"
"Innovating Performing Arts Management Through a Product Lifecycle Management Approach","Product Lifecycle Management to Support Industry 4.0","","","","10.1007/978-3-030-01614-2_39","Corallo AngeloLazoi MariangelaMarra ManuelaQuarta Lorenzo","2018","http://link.springer.com/chapter/10.1007/978-3-030-01614-2_39","Chapter"
"Exploring summation and product operators in the refinement calculus","Mathematics of Program Construction","","","","10.1007/3-540-60117-1_8","Ralph-Johan BackMichael Butler","1995","http://link.springer.com/chapter/10.1007/3-540-60117-1_8","Chapter"
"Learning-Based Testing for Reactive Systems Using Term Rewriting Technology","Testing Software and Systems","","","","10.1007/978-3-642-24580-0_8","Karl MeinkeFei Niu","2011","http://link.springer.com/chapter/10.1007/978-3-642-24580-0_8","Chapter"
"The incremental development of correct specifications for distributed systems","FME'96: Industrial Benefit and Advances in Formal Methods","","","","10.1007/3-540-60973-3_103","Stephan KleukerHermann Tjabben","1996","http://link.springer.com/chapter/10.1007/3-540-60973-3_103","Chapter"
"The System Factory Approach to Software Engineering Education","Issues in Software Engineering Education","","","","10.1007/978-1-4613-9614-7_19","Walt Scacchi","1989","http://link.springer.com/chapter/10.1007/978-1-4613-9614-7_19","Chapter"
"An Incremental Learning Algorithm for Extended Mealy Automata","Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change","","","","10.1007/978-3-642-34026-0_36","Karl MeinkeFei Niu","2012","http://link.springer.com/chapter/10.1007/978-3-642-34026-0_36","Chapter"
"Applicability Study of Eye Movement Menu based on Analytic Hierarchy Process","Human-Computer Interaction. Recognition and Interaction Technologies","","","","10.1007/978-3-030-22643-5_22","Wen-jun HouBo ZhangSi-qi WuZhi-yang Jiang","2019","http://link.springer.com/chapter/10.1007/978-3-030-22643-5_22","Chapter"
"Case Studies in Learning-Based Testing","Testing Software and Systems","","","","10.1007/978-3-642-41707-8_11","Lei FengSimon LundmarkKarl MeinkeFei NiuMuddassar A. SindhuPeter Y. H. Wong","2013","http://link.springer.com/chapter/10.1007/978-3-642-41707-8_11","Chapter"
